Speed (m/s)		Cd (HM7H)		(Cd HM9)																							
0		0.5396		0.616685714																							
1.7878		0.5094		0.582171429																							
2.3103		0.48694		0.556502857																							
2.8722		0.46922		0.536251429																							
3.4735		0.45466		0.519611429																							
4.0924		0.44275		0.506																							
4.7071		0.43303		0.494891429																							
5.3176		0.42486		0.485554286																							
5.9239		0.41787		0.477565714																							
6.526		0.41178		0.470605714																							
7.1239		0.4064		0.464457143																							
7.7175		0.40161		0.458982857																							
8.307		0.39729		0.454045714																							
8.8922		0.39338		0.449577143																							
9.4731		0.3898		0.445485714																							
10.052		0.3865		0.441714286																							
10.628		0.38346		0.43824																							
11.173		0.38076		0.435154286																							
11.99		0.37702		0.43088																							
13.215		0.37294		0.426217143																							
15.054		0.37297		0.426251429																							
17.812		0.37302		0.426308571																							
20.707		0.37308		0.426377143																							
23.614		0.37314		0.426445714																							
26.552		0.37322		0.426537143																							
29.52		0.37331		0.42664																							
32.519		0.37341		0.426754286																							
35.549		0.37352		0.42688																							
38.609		0.37364		0.427017143																							
41.7		0.37377		0.427165714																							
44.805		0.37392		0.427337143																							
47.899		0.37407		0.427508571																							
50.981		0.37423		0.427691429																							
54.051		0.3744		0.427885714																							
57.116		0.37459		0.428102857																							
60.192		0.37478		0.42832																							
63.276		0.37498		0.428548571																							
66.37		0.3752		0.4288																							
69.474		0.37542		0.429051429																							
72.586		0.37566		0.429325714																							
75.707		0.37591		0.429611429																							
78.838		0.37617		0.429908571																							
81.977		0.37644		0.430217143																							
85.125		0.37673		0.430548571																							
88.282		0.37702		0.43088																							
91.447		0.37733		0.431234286																							
94.621		0.37765		0.4316																							
97.803		0.37799		0.431988571																							
100.99		0.37833		0.432377143																							
104.19		0.37869		0.432788571																							
107.4		0.37906		0.433211429																							
110.61		0.37944		0.433645714																							
113.84		0.37984		0.434102857																							
117.07		0.38025		0.434571429																							
120.3		0.38068		0.435062857																							
123.53		0.38111		0.435554286																							
126.77		0.38156		0.436068571																							
129.99		0.38202		0.436594286																							
133.22		0.3825		0.437142857																							
